category,title,price,rating,availability
Horror,Psycho: Sanitarium (Psycho #1.5),£36.97,Five star,In stock
Horror,Can You Keep a Secret? (Fear Street Relaunch #4),£48.64,One star,In stock
Horror,Red Dragon (Hannibal Lecter #1),£23.37,Three star,In stock
Horror,Dracula the Un-Dead,£35.63,Five star,In stock
Horror,Night Shift (Night Shift #1-20),£12.75,Four star,In stock
Horror,Needful Things,£47.51,Four star,In stock
Horror,Misery,£34.79,Two star,In stock
Horror,It,£25.01,Three star,In stock
Horror,'Salem's Lot,£49.56,Four star,In stock
Horror,The Stand,£57.86,Two star,In stock
Horror,The Girl with All the Gifts,£49.47,Three star,In stock
Horror,House of Leaves,£54.89,One star,In stock
Humor,The Long Haul (Diary of a Wimpy Kid #9),£44.07,One star,In stock
Humor,Old School (Diary of a Wimpy Kid #10),£11.83,Five star,In stock
Humor,I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction,£25.98,Four star,In stock
Humor,"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",£14.75,Five star,In stock
Humor,Dress Your Family in Corduroy and Denim,£43.68,Three star,In stock
Humor,Toddlers Are A**holes: It's Not Your Fault,£25.55,One star,In stock
Humor,When You Are Engulfed in Flames,£30.89,Five star,In stock
Humor,Naked,£31.69,Three star,In stock
Humor,"Lamb: The Gospel According to Biff, Christ's Childhood Pal",£55.50,Five star,In stock
Humor,Holidays on Ice,£51.07,Two star,In stock
Autobiography,The Argonauts,£10.93,Two star,In stock
Autobiography,M Train,£27.18,One star,In stock
Autobiography,Lab Girl,£40.85,One star,In stock
Autobiography,Approval Junkie: Adventures in Caring Too Much,£58.81,Five star,In stock
Autobiography,Running with Scissors,£12.91,Four star,In stock
Autobiography,Me Talk Pretty One Day,£57.60,Two star,In stock
Autobiography,Lust & Wonder,£11.87,Two star,In stock
Autobiography,Life Without a Recipe,£59.04,Five star,In stock
Autobiography,A Heartbreaking Work of Staggering Genius,£54.29,Five star,In stock
Parenting,Catastrophic Happiness: Finding Joy in Childhood's Messy Years,£37.35,Two star,In stock
Psychology,The Lucifer Effect: Understanding How Good People Turn Evil,£10.40,One star,In stock
Psychology,The Golden Condom: And Other Essays on Love Lost and Found,£39.43,One star,In stock
Psychology,It Didn't Start with You: How Inherited Family Trauma Shapes Who We Are and How to End the Cycle,£56.27,Three star,In stock
Psychology,An Unquiet Mind: A Memoir of Moods and Madness,£21.30,Three star,In stock
Psychology,"Thinking, Fast and Slow",£21.14,One star,In stock
Psychology,Civilization and Its Discontents,£59.95,Two star,In stock
Psychology,8 Keys to Mental Health Through Exercise,£31.04,One star,In stock
Art,Wall and Piece,£44.18,Four star,In stock
Art,Feathers: Displays of Brilliant Plumage,£49.05,Three star,In stock
Art,Art and Fear: Observations on the Perils (and Rewards) of Artmaking,£48.63,Four star,In stock
Art,The New Drawing on the Right Side of the Brain,£43.02,Three star,In stock
Art,History of Beauty,£10.29,Four star,In stock
Art,The Story of Art,£41.14,Four star,In stock
Art,The Art Book,£32.34,Two star,In stock
Art,Ways of Seeing,£39.51,Five star,In stock
Paranormal,"Vampire Knight, Vol. 1 (Vampire Knight #1)",£15.40,One star,In stock
Science,The Most Perfect Thing: Inside (and Outside) a Bird's Egg,£42.96,Four star,In stock
Science,Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,£57.36,Five star,In stock
Science,Sorting the Beef from the Bull: The Science of Food Fraud Forensics,£44.74,Four star,In stock
Science,Tipping Point for Planet Earth: How Close Are We to the Edge?,£37.55,One star,In stock
Science,"The Fabric of the Cosmos: Space, Time, and the Texture of Reality",£55.91,One star,In stock
Science,Diary of a Citizen Scientist: Chasing Tiger Beetles and Other New Ways of Engaging the World,£28.41,One star,In stock
Science,The Origin of Species,£10.01,Four star,In stock
Science,The Grand Design,£13.76,Three star,In stock
Science,Peak: Secrets from the New Science of Expertise,£16.28,Two star,In stock
Science,"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",£13.03,Four star,In stock
Science,"The Disappearing Spoon: And Other True Tales of Madness, Love, and the History of the World from the Periodic Table of the Elements",£57.35,Five star,In stock
Science,"Surely You're Joking, Mr. Feynman!: Adventures of a Curious Character",£25.83,Two star,In stock
Science,Seven Brief Lessons on Physics,£30.60,Four star,In stock
Science,The Selfish Gene,£29.45,One star,In stock
Young Adult,The Requiem Red,£22.65,One star,In stock
Young Adult,Set Me Free,£17.46,Five star,In stock
Young Adult,The Natural History of Us (The Fine Art of Pretending #2),£45.22,Three star,In stock
Young Adult,Obsidian (Lux #1),£14.86,Two star,In stock
Young Adult,Burning,£28.81,Three star,In stock
Young Adult,A Fierce and Subtle Poison,£28.13,Four star,In stock
Young Adult,Scarlett Epstein Hates It Here,£43.55,Five star,In stock
Young Adult,"Nightingale, Sing",£38.28,One star,In stock
Young Adult,Library of Souls (Miss Peregrine’s Peculiar Children #3),£48.56,Five star,In stock
Young Adult,Frostbite (Vampire Academy #2),£29.99,Five star,In stock
Young Adult,Wild Swans,£14.36,Two star,In stock
Young Adult,Until Friday Night (The Field Party #1),£46.31,Two star,In stock
Young Adult,This Is Where It Ends,£27.12,Two star,In stock
Young Adult,The Darkest Lie,£35.35,Five star,In stock
Young Adult,My Kind of Crazy,£40.36,One star,In stock
Young Adult,Don't Get Caught,£55.35,One star,In stock
Young Adult,Catching Jordan (Hundred Oaks),£50.83,Three star,In stock
Young Adult,Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1),£58.14,Four star,In stock
Young Adult,The Epidemic (The Program 0.6),£14.44,Five star,In stock
Poetry,A Light in the Attic,£51.77,Three star,In stock
Poetry,The Black Maria,£52.15,One star,In stock
Poetry,Shakespeare's Sonnets,£20.66,Four star,In stock
Poetry,Olio,£23.88,One star,In stock
Poetry,You can't bury them all: Poems,£33.63,Two star,In stock
Poetry,Slow States of Collapse: Poems,£57.31,Three star,In stock
Poetry,Untitled Collection: Sabbath Poems 2014,£14.27,Four star,In stock
Poetry,Poems That Make Grown Women Cry,£14.19,Four star,In stock
Poetry,Night Sky with Exit Wounds,£41.05,One star,In stock
Poetry,salt.,£46.78,Four star,In stock
Poetry,"Quarter Life Poetry: Poems for the Young, Broke and Hangry",£50.89,Five star,In stock
Poetry,Out of Print: City Lights Spotlight No. 14,£53.64,Five star,In stock
Poetry,Les Fleurs du Mal,£29.04,Five star,In stock
Poetry,Howl and Other Poems,£40.45,Two star,In stock
Poetry,Leave This Song Behind: Teen Poetry at Its Best,£51.17,Five star,In stock
Poetry,The Collected Poems of W.B. Yeats (The Collected Works of W.B. Yeats #1),£15.42,Five star,In stock
Poetry,The Crossover,£38.77,Four star,In stock
Poetry,Booked,£17.49,Five star,In stock
Poetry,Twenty Love Poems and a Song of Despair,£30.95,Four star,In stock
Add a comment,The Torch Is Passed: A Harding Family Story,£19.09,One star,In stock
Add a comment,"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",£23.89,Four star,In stock
Add a comment,The Art Forger,£40.76,Three star,In stock
Add a comment,On a Midnight Clear,£14.07,Three star,In stock
Add a comment,Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),£53.90,Two star,In stock
Add a comment,"Shobu Samurai, Project Aryoku (#3)",£29.06,Three star,In stock
Add a comment,Modern Romance,£28.26,Five star,In stock
Add a comment,The White Queen (The Cousins' War #1),£25.91,Five star,In stock
Add a comment,The Song of Achilles,£37.40,Five star,In stock
Add a comment,The Immortal Life of Henrietta Lacks,£40.67,Two star,In stock
Add a comment,The Dovekeepers,£48.78,One star,In stock
Add a comment,More Than Music (Chasing the Dream #1),£37.61,Two star,In stock
Add a comment,Code Name Verity (Code Name Verity #1),£22.13,Four star,In stock
Add a comment,Cell,£20.29,Four star,In stock
Add a comment,Angels Walking (Angels Walking #1),£34.20,Two star,In stock
Add a comment,"A Series of Catastrophes and Miracles: A True Story of Love, Science, and Cancer",£56.48,Two star,In stock
Add a comment,A People's History of the United States,£40.79,Two star,In stock
Add a comment,A Brush of Wings (Angels Walking #3),£55.51,One star,In stock
Add a comment,Rook,£37.86,Four star,In stock
Add a comment,The Midnight Watch: A Novel of the Titanic and the Californian,£26.20,One star,In stock
Fantasy,Unicorn Tracks,£18.78,Three star,In stock
Fantasy,"Saga, Volume 6 (Saga (Collected Editions) #6)",£25.02,Three star,In stock
Fantasy,Princess Between Worlds (Wide-Awake Princess #5),£13.34,Five star,In stock
Fantasy,Masks and Shadows,£56.40,Two star,In stock
Fantasy,Crown of Midnight (Throne of Glass #2),£43.29,Three star,In stock
Fantasy,"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",£28.09,Two star,In stock
Fantasy,A Court of Thorns and Roses (A Court of Thorns and Roses #1),£52.37,One star,In stock
Fantasy,Throne of Glass (Throne of Glass #1),£35.07,Three star,In stock
Fantasy,The Glittering Court (The Glittering Court #1),£44.28,One star,In stock
Fantasy,Hollow City (Miss Peregrine’s Peculiar Children #2),£42.98,One star,In stock
Fantasy,The Star-Touched Queen,£46.02,Five star,In stock
Fantasy,The Hidden Oracle (The Trials of Apollo #1),£52.26,Two star,In stock
Fantasy,The Bane Chronicles (The Bane Chronicles #1-11),£44.73,Four star,In stock
Fantasy,Island of Dragons (Unwanteds #7),£29.65,One star,In stock
Fantasy,Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3),£37.51,Five star,In stock
Fantasy,City of Glass (The Mortal Instruments #3),£56.02,Four star,In stock
Fantasy,Searching for Meaning in Gailana,£38.73,One star,In stock
Fantasy,The Star-Touched Queen,£32.30,Five star,In stock
Fantasy,A Shard of Ice (The Black Symphony Saga #1),£56.63,Three star,In stock
Fantasy,King's Folly (The Kinsman Chronicles #1),£39.61,Five star,In stock
Sports and Games,The Book of Basketball: The NBA According to The Sports Guy,£44.84,Five star,In stock
Sports and Games,"Friday Night Lights: A Town, a Team, and a Dream",£51.22,Three star,In stock
Sports and Games,Sugar Rush (Offensive Line #2),£24.42,One star,In stock
Sports and Games,Settling the Score (The Summer Games #1),£44.91,Two star,In stock
Sports and Games,Icing (Aces Hockey #2),£40.44,Four star,In stock
New Adult,Without Borders (Wanderlove #1),£45.07,Two star,In stock
New Adult,The Mistake (Off-Campus #2),£43.29,Three star,In stock
New Adult,The Matchmaker's Playbook (Wingmen Inc. #1),£55.85,One star,In stock
New Adult,The Hook Up (Game On #1),£36.29,Five star,In stock
New Adult,Shameless,£58.35,Three star,In stock
New Adult,Off Sides (Off #1),£39.45,Five star,In stock
Science Fiction,Mesaerion: The Best Science Fiction Stories 1800-1849,£37.59,One star,In stock
Science Fiction,Join,£35.67,Five star,In stock
Science Fiction,"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",£43.30,Four star,In stock
Science Fiction,The Project,£10.65,One star,In stock
Science Fiction,Soft Apocalypse,£26.12,Two star,In stock
Science Fiction,Sleeping Giants (Themis Files #1),£48.74,One star,In stock
Science Fiction,Arena,£21.36,Four star,In stock
Science Fiction,Foundation (Foundation (Publication Order) #1),£32.42,One star,In stock
Science Fiction,The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy #2),£10.92,One star,In stock
Science Fiction,Ready Player One,£19.07,Four star,In stock
Science Fiction,"Life, the Universe and Everything (Hitchhiker's Guide to the Galaxy #3)",£33.26,Two star,In stock
Science Fiction,Dune (Dune #1),£54.86,One star,In stock
Science Fiction,Do Androids Dream of Electric Sheep? (Blade Runner #1),£51.48,One star,In stock
Science Fiction,Three Wishes (River of Time: California #1),£44.18,Two star,In stock
Science Fiction,The Last Girl (The Dominion Trilogy #1),£36.26,Two star,In stock
Science Fiction,Having the Barbarian's Baby (Ice Planet Barbarians #7.5),£34.96,Four star,In stock
Young Adult,Stars Above (The Lunar Chronicles #4.5),£48.05,Two star,In stock
Romance,Chase Me (Paris Nights #2),£25.27,Five star,In stock
Romance,Black Dust,£34.53,Five star,In stock
Romance,Her Backup Boyfriend (The Sorensen Family #1),£33.97,One star,In stock
Romance,First and First (Five Boroughs #3),£15.97,Four star,In stock
Romance,Fifty Shades Darker (Fifty Shades #2),£21.96,One star,In stock
Romance,The Wedding Dress,£24.12,One star,In stock
Romance,Suddenly in Love (Lake Haven #1),£55.99,Two star,In stock
Romance,Something More Than This,£16.24,Four star,In stock
Romance,Doing It Over (Most Likely To #1),£35.61,Three star,In stock
Romance,The Wedding Pact (The O'Malleys #2),£32.61,Three star,In stock
Romance,Hold Your Breath (Search and Rescue #1),£28.82,One star,In stock
Romance,Dirty (Dive Bar #1),£40.83,Four star,In stock
Romance,Take Me Home Tonight (Rock Star Romance #3),£53.98,Three star,In stock
Romance,Off the Hook (Fishing for Trouble #1),£47.67,Three star,In stock
Romance,A Gentleman's Position (Society of Gentlemen #3),£14.75,Five star,In stock
Romance,"Sit, Stay, Love",£20.90,Three star,In stock
Romance,A Girl's Guide to Moving On (New Beginnings #2),£31.30,One star,In stock
Romance,The Perfect Play (Play by Play #1),£59.99,Three star,In stock
Romance,Dark Lover (Black Dagger Brotherhood #1),£12.87,One star,In stock
Romance,Changing the Game (Play by Play #2),£13.38,Three star,In stock
Default,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",£17.93,Three star,In stock
Default,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,£22.60,Four star,In stock
Default,"Starving Hearts (Triangular Trade Trilogy, #1)",£13.99,Two star,In stock
Default,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,£22.50,Three star,In stock
Default,Aladdin and His Wonderful Lamp,£53.13,Three star,In stock
Default,Penny Maybe,£33.29,Three star,In stock
Default,Maude (1883-1993):She Grew Up with the country,£18.02,Two star,In stock
Default,"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",£20.59,Five star,In stock
Default,Soul Reader,£39.58,Two star,In stock
Default,Bossypants,£49.46,Two star,In stock
Default,A World of Flavor: Your Gluten Free Passport,£42.95,One star,In stock
Default,"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",£56.76,Five star,In stock
Default,Tracing Numbers on a Train,£41.60,Three star,In stock
Default,Thirteen Reasons Why,£52.72,One star,In stock
Default,The Secret (The Secret #1),£27.37,Four star,In stock
Default,The Psychopath Test: A Journey Through the Madness Industry,£36.00,Two star,In stock
Default,The Kite Runner,£41.82,Four star,In stock
Default,The Girl on the Train,£55.02,Two star,In stock
Default,The Emerald Mystery,£23.15,Two star,In stock
Default,The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,£32.00,Three star,In stock
Religion,"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",£37.97,Two star,In stock
Religion,You Are What You Love: The Spiritual Power of Habit,£21.87,Four star,In stock
Religion,God: The Most Unpleasant Character in All Fiction,£30.03,Five star,In stock
Religion,The Book of Mormon,£24.57,Three star,In stock
Religion,"A History of God: The 4,000-Year Quest of Judaism, Christianity, and Islam",£27.62,One star,In stock
Religion,The Bhagavad Gita,£57.49,Three star,In stock
Religion,Choosing Our Religion: The Spiritual Lives of America's Nones,£28.42,Four star,In stock
Music,Rip it Up and Start Again,£35.02,Five star,In stock
Music,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",£57.25,Three star,In stock
Music,How Music Works,£37.32,Two star,In stock
Music,Love Is a Mix Tape (Music #1),£18.03,One star,In stock
Music,Please Kill Me: The Uncensored Oral History of Punk,£31.19,Four star,In stock
Music,Kill 'Em and Leave: Searching for James Brown and the American Soul,£45.05,Five star,In stock
Music,"Chronicles, Vol. 1",£52.60,Two star,In stock
Music,This Is Your Brain on Music: The Science of a Human Obsession,£38.40,One star,In stock
Music,"Orchestra of Exiles: The Story of Bronislaw Huberman, the Israel Philharmonic, and the One Thousand Jews He Saved from Nazi Horrors",£12.36,Three star,In stock
Music,No One Here Gets Out Alive,£20.02,Five star,In stock
Music,Life,£31.58,Five star,In stock
Music,Old Records Never Die: One Man's Quest for His Vinyl and His Past,£55.66,Two star,In stock
Music,Forever Rockers (The Rocker #12),£28.80,Three star,In stock
Nonfiction,Worlds Elsewhere: Journeys Around Shakespeare’s Globe,£40.30,Five star,In stock
Nonfiction,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,£31.05,Three star,In stock
Nonfiction,Reasons to Stay Alive,£26.41,Two star,In stock
Nonfiction,#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,£23.11,Five star,In stock
Nonfiction,"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",£44.18,Four star,In stock
Nonfiction,Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,£31.12,Three star,In stock
Nonfiction,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,£16.77,Three star,In stock
Nonfiction,The Gutsy Girl: Escapades for Your Life of Epic Adventure,£37.13,One star,In stock
Nonfiction,The Electric Pencil: Drawings from Inside State Hospital No. 3,£56.06,One star,In stock
Nonfiction,Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,£41.83,Four star,In stock
Nonfiction,Reskilling America: Learning to Labor in the Twenty-First Century,£19.83,Two star,In stock
Nonfiction,In the Country We Love: My Family Divided,£22.00,Four star,In stock
Nonfiction,Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,£54.35,Two star,In stock
Nonfiction,Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,£29.14,Five star,In stock
Nonfiction,Algorithms to Live By: The Computer Science of Human Decisions,£30.81,One star,In stock
Nonfiction,The Power of Now: A Guide to Spiritual Enlightenment,£43.54,Two star,In stock
Nonfiction,The Omnivore's Dilemma: A Natural History of Four Meals,£38.21,Two star,In stock
Nonfiction,The Genius of Birds,£17.24,One star,In stock
Nonfiction,The Artist's Way: A Spiritual Path to Higher Creativity,£38.49,Five star,In stock
Nonfiction,So You've Been Publicly Shamed,£12.23,Two star,In stock
Fiction,Soumission,£50.10,One star,In stock
Fiction,Private Paris (Private #10),£47.61,Five star,In stock
Fiction,"We Love You, Charlie Freeman",£50.27,Five star,In stock
Fiction,Thirst,£17.27,Five star,In stock
Fiction,The Murder That Never Was (Forensic Instincts #5),£54.11,Three star,In stock
